strategy,strategy_family,fixed_weights,gross_exposure,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_fixed_tqqq_soxl_btc_gld_equal_x1_5,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.5,-0.15,-0.22,7.5,6.0,0.0075,0.07944384061457099,0.00972269120861835,0.14743274064096437,-0.30726806426120357,0.06594662193993624,0.03164237465418225,0.02287545810271646,False,False
ext_fixed_tqqq_btc_gld_equal_x2_5,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,2.5,-0.08,-0.14,8.5,4.0,0.0085,0.07261071599084201,0.008911441798679753,0.13427151205525617,-0.31310312934686946,0.06636881988051543,0.028461682313009606,0.014360287409329852,False,False
ext_fixed_tqqq_btc_gld_equal_x2_5,external_fixed,TQQQ:0.33;BTC-USD:0.33;GLD:0.33,2.5,-0.12,-0.2,8.5,4.0,0.0085,0.07261071599084201,0.008911441798679753,0.13427151205525617,-0.31310312934686946,0.06636881988051543,0.028461682313009606,0.014360287409329852,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_5,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.5,-0.08,-0.14,9.0,8.0,0.009000000000000001,0.0659969411688055,0.008121923841111434,0.16072322578949416,-0.31589759766744985,0.05053360397176854,0.025710622369662667,0.02959707547612725,False,False
ext_fixed_tecl_gld_50_50_x1_5,external_fixed,TECL:0.50;GLD:0.50,1.5,-0.15,-0.22,6.0,4.0,0.006,0.06465966098043241,0.00796176650239011,0.16087111394001832,-0.30748219048849124,0.04949158557675369,0.025893423257267033,0.028689830417260306,False,False
ext_fixed_tecl_gld_50_50_x1_0,external_fixed,TECL:0.50;GLD:0.50,1.0,-0.15,-0.22,4.0,6.0,0.004,0.057508696814843274,0.00710234832701806,0.13415404617231458,-0.3025157734619748,0.05294173772362726,0.02347761323563117,0.03725868380984812,False,False
ext_fixed_btc_gld_50_50_x2_0,external_fixed,BTC-USD:0.50;GLD:0.50,2.0,-0.12,-0.2,9.0,6.0,0.009000000000000001,0.05714081251091652,0.0070579980650538054,0.16602494028581058,-0.31743964088343235,0.042511673564848265,0.022234142041653793,0.014847685008309445,False,False
ext_fixed_btc_gld_50_50_x2_5,external_fixed,BTC-USD:0.50;GLD:0.50,2.5,-0.15,-0.22,15.0,7.0,0.015,0.0565827134201764,0.0069906907309083,0.16411649563175065,-0.3055055699206686,0.042595905451175455,0.02288236752188705,0.012589267302517327,False,False
ext_fixed_tqqq_soxl_btc_gld_equal_x1_0,external_fixed,TQQQ:0.25;SOXL:0.25;BTC-USD:0.25;GLD:0.25,1.0,-0.08,-0.14,9.0,10.0,0.009000000000000001,0.04862474275158846,0.006027557289208341,0.12567357655613337,-0.30296597003161485,0.04796200963148424,0.019895162775473953,0.032767060987806344,False,False
ext_fixed_btc_gld_50_50_x1_25,external_fixed,BTC-USD:0.50;GLD:0.50,1.25,-0.12,-0.2,6.75,7.0,0.00675,0.04686807338054533,0.005814092116851466,0.1376821483925009,-0.3052589799352369,0.04222836573029638,0.019046424508412405,0.02724796100710318,False,False
