strategy,window,start,end,take_profit_levels,take_profit_fractions,annual_return,max_drawdown,calmar,passes_return_gate,passes_drawdown_gate,trade_count,candidate_count
tp12_24_36_f25_25_100,wf_2025_h1,2025-01-01,2025-06-30,0.12/0.24/0.36,0.25/0.25/1.00,-0.48325751016789675,-0.3029278454181872,-1.5952891669657085,False,False,61.0,125.0
tp12_24_36_f25_25_100,wf_2025_h2,2025-07-01,2025-12-31,0.12/0.24/0.36,0.25/0.25/1.00,1.1092503795059931,-0.2407899676880968,4.606713436428722,True,True,119.0,239.0
tp12_24_36_f33_33_100,full,2025-01-01,2026-05-15,0.12/0.24/0.36,0.33/0.33/1.00,0.2343656932883229,-0.29864705024509874,0.784758105248251,False,True,285.0,463.0
tp12_24_36_f33_33_100,train_2025,2025-01-01,2025-12-31,0.12/0.24/0.36,0.33/0.33/1.00,-0.009741791825607304,-0.29864705024509874,-0.032619749023512015,False,True,208.0,364.0
tp12_24_36_f33_33_100,oos_2026,2026-01-01,2026-05-15,0.12/0.24/0.36,0.33/0.33/1.00,0.7053226640356716,-0.2364528105842172,2.982932037445406,True,True,53.0,99.0
tp12_24_36_f33_33_100,wf_2025_h1,2025-01-01,2025-06-30,0.12/0.24/0.36,0.33/0.33/1.00,-0.48243884128966585,-0.29832919592518503,-1.617135861589128,False,True,61.0,125.0
tp12_24_36_f33_33_100,wf_2025_h2,2025-07-01,2025-12-31,0.12/0.24/0.36,0.33/0.33/1.00,1.149921995379057,-0.22945115351977052,5.011620023431151,True,True,119.0,239.0
tp12_24_36_f50_50_100,full,2025-01-01,2026-05-15,0.12/0.24/0.36,0.50/0.50/1.00,0.2539941358723048,-0.3014523579534919,0.8425680847103907,False,False,283.0,463.0
tp12_24_36_f50_50_100,train_2025,2025-01-01,2025-12-31,0.12/0.24/0.36,0.50/0.50/1.00,0.0017213669457571967,-0.3014523579534919,0.005710245418026451,False,False,206.0,364.0
tp12_24_36_f50_50_100,oos_2026,2026-01-01,2026-05-15,0.12/0.24/0.36,0.50/0.50/1.00,0.9833436554985493,-0.2095949858457411,4.691637309598027,True,True,55.0,99.0
tp12_24_36_f50_50_100,wf_2025_h1,2025-01-01,2025-06-30,0.12/0.24/0.36,0.50/0.50/1.00,-0.48624035320005654,-0.298416704259145,-1.6294005873672726,False,True,57.0,125.0
tp12_24_36_f50_50_100,wf_2025_h2,2025-07-01,2025-12-31,0.12/0.24/0.36,0.50/0.50/1.00,1.173018419400135,-0.20660085576899845,5.677703584692279,True,True,119.0,239.0
tp12_24_36_f100_100_100,full,2025-01-01,2026-05-15,0.12/0.24/0.36,1.00/1.00/1.00,0.47712759286593465,-0.3288145060965423,1.4510539651369474,False,False,163.0,463.0
tp12_24_36_f100_100_100,train_2025,2025-01-01,2025-12-31,0.12/0.24/0.36,1.00/1.00/1.00,0.23002795859354408,-0.3288145060965423,0.6995675504839383,False,False,113.0,364.0
