date,nav,running_max,drawdown
2025-04-14,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-15,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-16,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-17,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-18,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-21,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-22,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-23,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-24,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-25,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-28,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-29,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-04-30,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-06,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-07,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-08,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-09,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-12,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-13,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-14,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-15,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-16,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-19,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-20,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-21,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-22,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-23,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-26,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-27,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-28,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-29,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-05-30,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-06-03,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-06-04,1.1713672551087817,1.2666643050195736,-0.07523465335933599
2025-06-05,1.1701970580507313,1.2666643050195736,-0.07615849486447135
2025-06-06,1.1796066991231728,1.2666643050195736,-0.06872981700945258
2025-06-09,1.2270983020396655,1.2666643050195736,-0.03123637638095178
2025-06-10,1.154920334611134,1.2666643050195736,-0.08821908848746851
2025-06-11,1.1316176388446433,1.2666643050195736,-0.10661598786652748
2025-06-12,1.1414558714569494,1.2666643050195736,-0.09884894763864793
2025-06-13,1.1609319885068465,1.2666643050195736,-0.08347303708940723
2025-06-16,1.1844942290363183,1.2666643050195736,-0.0648712335680649
2025-06-17,1.1551320688581637,1.2666643050195736,-0.08805192955973162
2025-06-18,1.170827707736365,1.2666643050195736,-0.07566061260542722
2025-06-19,1.130299992836866,1.2666643050195736,-0.10765623665427315
2025-06-20,1.0813091779500499,1.2666643050195736,-0.14633326788715295
2025-06-23,1.1301315160503331,1.2666643050195736,-0.10778924489162944
2025-06-24,1.1176574214321215,1.2666643050195736,-0.11763723268822157
2025-06-25,1.1513754959444438,1.2666643050195736,-0.09101765054739452
2025-06-26,1.145956357319674,1.2666643050195736,-0.0952959258594046
2025-06-27,1.140940764996091,1.2666643050195736,-0.09925561139227002
2025-06-30,1.214735197590774,1.2666643050195736,-0.040996740196288295
2025-07-01,1.2785533831496403,1.2785533831496403,0.0
2025-07-02,1.1958174837788813,1.2785533831496403,-0.06471055527376102
2025-07-03,1.1908757745618674,1.2785533831496403,-0.06857563379307974
2025-07-04,1.2019648628192683,1.2785533831496403,-0.05990248146049304
2025-07-07,1.1971902608461287,1.2785533831496403,-0.06363685973211253
2025-07-08,1.232198647742057,1.2785533831496403,-0.03625561202097882
2025-07-09,1.231488678190259,1.2785533831496403,-0.036810903306548015
2025-07-10,1.2251468696503502,1.2785533831496403,-0.04177104703107992
2025-07-11,1.2298613770948932,1.2785533831496403,-0.038083670730116315
2025-07-14,1.197456022845098,1.2785533831496403,-0.06342899825173032
2025-07-15,1.2192899836709954,1.2785533831496403,-0.04635191636085856
2025-07-16,1.2977460133662069,1.2977460133662069,0.0
2025-07-17,1.3245655594696988,1.3245655594696988,0.0
2025-07-18,1.3291653317290415,1.3291653317290415,0.0
2025-07-21,1.332048657347273,1.332048657347273,0.0
2025-07-22,1.3378264216355975,1.3378264216355975,0.0
2025-07-23,1.3137380671308698,1.3378264216355975,-0.01800559034801974
2025-07-24,1.3410787777442181,1.3410787777442181,0.0
2025-07-25,1.3474794304189657,1.3474794304189657,0.0
2025-07-28,1.3340741388339077,1.3474794304189657,-0.009948420200291963
2025-07-29,1.33836606867426,1.3474794304189657,-0.006763265946013064
2025-07-30,1.3335868005689764,1.3474794304189657,-0.010310086771172289
2025-07-31,1.4099488259109587,1.4099488259109587,0.0
2025-08-01,1.3627770022715178,1.4099488259109587,-0.03345640832670893
2025-08-04,1.3457374362123207,1.4099488259109587,-0.04554164556798823
2025-08-05,1.349362452801934,1.4099488259109587,-0.04297061850445549
2025-08-06,1.3412608906371633,1.4099488259109587,-0.048716615817185116
2025-08-07,1.3352654163818065,1.4099488259109587,-0.0529688795484472
2025-08-08,1.3156988792741329,1.4099488259109587,-0.06684635988538912
2025-08-11,1.3679117157581224,1.4099488259109587,-0.029814635382724886
2025-08-12,1.3617126259869736,1.4099488259109587,-0.03421131252250942
2025-08-13,1.3907076533864218,1.4099488259109587,-0.013646716938187753
2025-08-14,1.3409629108413854,1.4099488259109587,-0.04892795667601757
2025-08-15,1.3474738979778966,1.4099488259109587,-0.044310067702419964
2025-08-18,1.4514862771003831,1.4514862771003831,0.0
2025-08-19,1.5289366525693282,1.5289366525693282,0.0
2025-08-20,1.5378333799630777,1.5378333799630777,0.0
2025-08-21,1.58316010560707,1.58316010560707,0.0
2025-08-22,1.5911046837247853,1.5911046837247853,0.0
2025-08-25,1.5820033646643596,1.5911046837247853,-0.005720125868223458
2025-08-26,1.5871907057741672,1.5911046837247853,-0.0024599122802250184
2025-08-27,1.5374019420069243,1.5911046837247853,-0.033751859489309366
2025-08-28,1.5948379117612412,1.5948379117612412,0.0
2025-08-29,1.6233618173237674,1.6233618173237674,0.0
2025-09-01,1.5868759273371165,1.6233618173237674,-0.02247551322033714
2025-09-02,1.590283546542092,1.6233618173237674,-0.02037640064505608
2025-09-03,1.508385045406354,1.6233618173237674,-0.0708263374747603
2025-09-04,1.5169314116720458,1.6233618173237674,-0.06556172783907166
2025-09-05,1.549872180468744,1.6233618173237674,-0.04527002918928846
2025-09-08,1.7336010285598367,1.7336010285598367,0.0
2025-09-09,1.7694077078957349,1.7694077078957349,0.0
2025-09-10,1.7875848427451126,1.7875848427451126,0.0
2025-09-11,1.8719271322508604,1.8719271322508604,0.0
2025-09-12,1.913624447465761,1.913624447465761,0.0
2025-09-15,1.896048117130227,1.913624447465761,-0.009184837891682784
2025-09-16,1.924416552678355,1.924416552678355,0.0
2025-09-17,1.9610216630099364,1.9610216630099364,0.0
2025-09-18,2.0117214476524623,2.0117214476524623,0.0
2025-09-19,2.031093575995688,2.031093575995688,0.0
2025-09-22,2.097745536401372,2.097745536401372,0.0
2025-09-23,2.057225687140022,2.097745536401372,-0.01931590298166508
2025-09-24,2.0734940983312646,2.097745536401372,-0.011560714895720858
2025-09-25,2.0375578523795346,2.097745536401372,-0.028691603904012042
2025-09-26,1.9591097803440347,2.097745536401372,-0.06608797571089742
2025-09-29,1.9943358183017206,2.097745536401372,-0.04929564444553558
2025-09-30,2.0217802874164437,2.097745536401372,-0.03621280449260056
2025-10-09,2.0570366110863914,2.097745536401372,-0.019406035960307988
2025-10-10,2.005947587293182,2.097745536401372,-0.04376028813564625
2025-10-13,1.9981471941993505,2.097745536401372,-0.047478753010662955
2025-10-14,1.9958954182461774,2.097745536401372,-0.04855217965564873
2025-10-15,2.102837621058159,2.102837621058159,0.0
2025-10-16,2.035166321305958,2.102837621058159,-0.03218094401323701
2025-10-17,2.023146473071144,2.102837621058159,-0.0378969575153949
2025-10-20,2.071981663356668,2.102837621058159,-0.01467348567121618
2025-10-21,2.0589335953754118,2.102837621058159,-0.020878466907328197
2025-10-22,2.0918768538528663,2.102837621058159,-0.005212369750060564
2025-10-23,2.0479483128193063,2.102837621058159,-0.02610249488081362
2025-10-24,2.0642927885351554,2.102837621058159,-0.01832991389207117
