trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
57,closed,002796,2025-08-25,2025-09-03,9,7900.0,7900.0,1,13.51,14.72,106729.0,116288.0,9559.0,223.017,9335.983,9335.983,0.08738633683119248,take_profit_8
58,closed,301010,2025-08-25,2025-09-04,10,1600.0,1600.0,2,20.35,18.8275,32560.000000000004,30124.0,-2436.0000000000036,62.684,-2498.6840000000034,-2498.6840000000034,-0.07666424484606311,break_bbi
59,closed,603126,2025-08-26,2025-09-19,24,10900.0,10900.0,3,7.2,6.642660550458715,78480.0,72405.0,-6075.0,150.885,-6225.884999999999,-6225.884999999999,-0.07925159702682638,break_bbi
60,closed,688800,2025-08-27,2025-08-28,1,2700.0,2700.0,1,70.29,78.06,189783.00000000003,210762.0,20978.99999999997,400.5450000000001,20578.454999999973,20578.454999999973,0.10832317490448076,take_profit_8
61,closed,002245,2025-08-27,2025-09-17,21,100.0,100.0,1,11.68,13.13,1168.0,1313.0,145.0,2.481,142.519,142.519,0.1218977939868351,take_profit_8
62,closed,301076,2025-08-28,2025-08-29,1,7500.0,7500.0,1,38.39,41.82,287925.0,313650.0,25725.0,601.575,25123.425,25123.425,0.08716966805010566,take_profit_8
63,closed,600255,2025-08-28,2025-10-17,50,79000.0,79000.0,2,4.15,3.8533924050632913,327850.0,304418.0,-23432.0,632.268,-24064.268,-24064.268,-0.07332691100267737,break_bbi
64,closed,300703,2025-08-29,2025-09-08,10,8600.0,8600.0,1,31.2,34.22,268320.0,294292.0,25972.0,562.6120000000001,25409.388,25409.388,0.09460347344962729,take_profit_8
65,closed,000501,2025-09-01,2025-09-22,21,15100.0,15100.0,2,10.41,10.193112582781456,157191.0,153916.0,-3275.0,311.107,-3586.107,-3586.107,-0.022790900722843392,break_bbi
66,closed,688716,2025-09-01,2025-09-04,3,600.0,600.0,1,45.82,43.14,27492.0,25884.0,-1608.0,53.376000000000005,-1661.376,-1661.376,-0.06037088184622013,break_bbi
67,closed,603516,2025-09-02,2025-09-09,7,2400.0,2400.0,1,97.5,113.3,234000.0,271920.0,37920.0,505.92,37414.08,37414.08,0.15972950126796281,take_profit_8
68,closed,300153,2025-09-02,2025-09-03,1,100.0,100.0,1,41.78,37.06,4178.0,3706.0,-472.0,7.884,-479.884,-479.884,-0.11474499650660494,break_bbi
69,closed,002272,2025-09-04,2025-09-18,14,22300.0,22300.0,1,16.05,18.5,357915.0,412550.0,54635.0,770.465,53864.534999999996,53864.534999999996,0.15034498212068306,take_profit_8
70,closed,600410,2025-09-08,2025-09-16,8,15000.0,15000.0,1,19.51,21.51,292650.0,322650.0,30000.0,615.3000000000001,29384.699999999997,29384.699999999997,0.1003087123025616,take_profit_8
71,closed,688343,2025-09-09,2025-09-12,3,3300.0,3300.0,1,81.97,90.33,270501.0,298089.0,27588.0,568.59,27019.41,27019.41,0.09978675710040844,take_profit_8
72,closed,301183,2025-09-12,2025-09-18,6,3100.0,3100.0,1,95.74,103.98,296794.0,322338.0,25544.0,619.1320000000001,24924.868,24924.868,0.0838964670174196,take_profit_8
73,closed,300548,2025-09-16,2025-09-18,2,2700.0,2700.0,1,117.87,127.78,318249.0,345006.0,26757.0,663.2550000000001,26093.745,26093.745,0.08190969122503863,take_profit_8
74,closed,603395,2025-09-16,2025-09-18,2,100.0,100.0,1,35.61,34.83,3561.0,3483.0,-78.0,7.0440000000000005,-85.04400000000001,-85.04400000000001,-0.023858197404953936,break_bbi
75,closed,600693,2025-09-18,2025-09-22,4,18300.0,18300.0,2,6.26,6.185901639344262,114558.0,113202.0,-1356.0,227.76,-1583.76,-1583.76,-0.013811150877091274,break_bbi
76,closed,600865,2025-09-18,2025-09-23,5,7100.0,7100.0,2,9.98,9.45830985915493,70858.0,67154.0,-3704.0,138.012,-3842.012,-3842.012,-0.05416712052518878,break_bbi
77,closed,002115,2025-09-19,2025-11-20,62,64000.0,64000.0,2,11.79,10.933671875,754560.0,699755.0,-54805.0,1454.315,-56259.314999999995,-56259.314999999995,-0.07448461605188703,break_bbi
78,closed,301076,2025-09-23,2025-11-05,43,6800.0,6800.0,2,43.28,36.382205882352935,294304.0,247398.99999999997,-46905.00000000003,541.703,-47446.70300000002,-47446.70300000002,-0.16105558774703613,break_bbi
79,closed,002384,2025-09-25,2025-10-14,19,2700.0,2700.0,1,73.0,61.0,197100.0,164700.0,-32400.0,361.8,-32761.8,-32761.8,-0.16605312495723454,break_bbi
80,closed,600601,2025-09-26,2025-10-24,28,500.0,500.0,1,10.8,11.72,5400.0,5860.0,460.0,11.260000000000002,448.74,448.74,0.08301698301698303,take_profit_8
81,closed,603083,2025-10-14,2025-11-24,41,1400.0,1400.0,1,111.96,94.17,156744.0,131838.0,-24906.0,288.582,-25194.582,-25194.582,-0.1605765617019636,break_bbi
82,closed,300604,2025-10-16,2025-10-27,11,2600.0,2600.0,1,83.96,90.77,218295.99999999997,236002.0,17706.00000000003,454.298,17251.70200000003,17251.70200000003,0.07894999236114067,take_profit_8
83,closed,603516,2025-10-20,2025-10-24,4,600.0,600.0,1,153.0,166.76,91800.0,100056.0,8256.0,191.856,8064.144,8064.144,0.08775694893341952,take_profit_8
84,closed,000981,2025-10-23,2025-11-14,22,300.0,300.0,1,4.01,3.51,1203.0,1053.0,-150.0,2.2560000000000002,-152.256,-152.256,-0.12643715386857532,break_bbi
85,closed,000021,2025-10-24,2025-11-14,21,3700.0,3700.0,1,28.34,24.6,104858.0,91020.0,-13838.0,195.878,-14033.878,-14033.878,-0.1337032762579693,break_bbi
86,closed,600857,2025-10-27,2025-11-06,10,7300.0,7300.0,2,14.82,16.067123287671233,108186.0,117290.00000000001,9104.000000000015,225.47600000000003,8878.524000000014,8878.524000000014,0.08198523233740372,take_profit_8 / take_profit_16
87,closed,301421,2025-10-27,2025-11-14,18,1200.0,1200.0,1,106.83,93.5,128196.0,112200.0,-15996.0,240.39600000000002,-16236.396,-16236.396,-0.12652638010683503,break_bbi
88,closed,600629,2025-10-29,2025-10-30,1,4600.0,4600.0,1,24.0,22.99,110400.0,105754.0,-4646.0,216.154,-4862.1539999999995,-4862.1539999999995,-0.043997252747252746,break_bbi
89,closed,301071,2025-10-30,2025-11-11,12,2600.0,2600.0,1,39.82,45.29,103532.0,117754.0,14222.0,221.286,14000.714,14000.714,0.1350956928556125,take_profit_8
90,closed,300933,2025-10-31,2025-11-11,11,400.0,400.0,1,9.24,9.03,3696.0,3611.9999999999995,-84.00000000000045,7.308,-91.30800000000045,-91.30800000000045,-0.02467986558895662,break_bbi
91,closed,600172,2025-11-04,2025-11-11,7,27600.0,27600.0,1,6.46,7.62,178296.0,210312.0,32016.0,388.608,31627.392,31627.392,0.17720978711690785,take_profit_8
92,closed,000852,2025-11-05,2025-11-21,16,9500.0,9500.0,1,7.16,6.9,68020.0,65550.0,-2470.0,133.57,-2603.57,-2603.57,-0.038238298014834325,break_bbi
93,closed,600601,2025-11-10,2026-01-07,58,400.0,400.0,1,11.86,13.33,4744.0,5332.0,588.0,10.076,577.924,577.924,0.12170039067172289,take_profit_8
94,closed,002249,2025-11-11,2025-11-18,7,29800.0,29800.0,1,11.14,10.29,331972.0,306642.0,-25330.0,638.614,-25968.614,-25968.614,-0.07814716701610777,break_bbi
95,closed,603759,2025-11-14,2025-12-16,32,16700.0,16700.0,2,11.47,10.321077844311377,191549.0,172362.0,-19187.0,363.911,-19550.911,-19550.911,-0.10196544811186496,break_bbi
96,closed,603686,2025-11-19,2025-11-21,2,26400.0,26400.0,1,27.16,25.37,717024.0,669768.0,-47256.0,1386.792,-48642.792,-48642.792,-0.06777206593112338,break_bbi
97,closed,688525,2025-11-21,2025-11-24,3,6400.0,6400.0,1,104.54,104.04,669056.0,665856.0,-3200.0,1334.912,-4534.912,-4534.912,-0.006771304073772029,break_bbi
98,closed,600506,2025-12-01,2025-12-04,3,8100.0,8100.0,1,19.97,18.74,161757.0,151794.0,-9963.0,313.55100000000004,-10276.551,-10276.551,-0.063467328865426,break_bbi
99,closed,002639,2025-12-01,2025-12-05,4,48900.0,48900.0,1,13.73,15.37,671397.0,751593.0,80196.0,1422.99,78773.01000000001,78773.01000000001,0.11720981131032115,take_profit_8
100,closed,300959,2025-12-02,2025-12-09,7,2200.0,2200.0,2,118.0,110.45863636363636,259600.0,243009.0,-16591.0,502.60900000000004,-17093.608999999997,-17093.608999999997,-0.06578017129249794,break_bbi / take_profit_8
101,closed,002213,2025-12-03,2025-12-15,12,6300.0,6300.0,1,27.45,25.52,172935.0,160776.0,-12159.0,333.711,-12492.711,-12492.711,-0.07216717708520987,break_bbi
