date,nav,drawdown
2025-06-24,1.1176574214321215,-0.11763723268822157
2025-06-25,1.1513754959444438,-0.09101765054739452
2025-06-26,1.145956357319674,-0.0952959258594046
2025-06-27,1.140940764996091,-0.09925561139227002
2025-06-30,1.214735197590774,-0.040996740196288295
2025-07-01,1.2785533831496403,0.0
2025-07-02,1.1958174837788813,-0.06471055527376102
2025-07-03,1.1908757745618674,-0.06857563379307974
2025-07-04,1.2019648628192683,-0.05990248146049304
2025-07-07,1.1971902608461287,-0.06363685973211253
2025-07-08,1.232198647742057,-0.03625561202097882
2025-07-09,1.231488678190259,-0.036810903306548015
2025-07-10,1.2251468696503502,-0.04177104703107992
2025-07-11,1.2298613770948932,-0.038083670730116315
2025-07-14,1.197456022845098,-0.06342899825173032
2025-07-15,1.2192899836709954,-0.04635191636085856
2025-07-16,1.2977460133662069,0.0
2025-07-17,1.3245655594696988,0.0
2025-07-18,1.3291653317290415,0.0
2025-07-21,1.332048657347273,0.0
2025-07-22,1.3378264216355975,0.0
2025-07-23,1.3137380671308698,-0.01800559034801974
2025-07-24,1.3410787777442181,0.0
2025-07-25,1.3474794304189657,0.0
2025-07-28,1.3340741388339077,-0.009948420200291963
2025-07-29,1.33836606867426,-0.006763265946013064
2025-07-30,1.3335868005689764,-0.010310086771172289
2025-07-31,1.4099488259109587,0.0
2025-08-01,1.3627770022715178,-0.03345640832670893
2025-08-04,1.3457374362123207,-0.04554164556798823
2025-08-05,1.349362452801934,-0.04297061850445549
2025-08-06,1.3412608906371633,-0.048716615817185116
2025-08-07,1.3352654163818065,-0.0529688795484472
2025-08-08,1.3156988792741329,-0.06684635988538912
2025-08-11,1.3679117157581222,-0.029814635382724997
2025-08-12,1.3617126259869734,-0.03421131252250964
2025-08-13,1.3907076533864215,-0.013646716938187864
2025-08-14,1.3409629108413852,-0.04892795667601779
2025-08-15,1.3474738979778964,-0.044310067702420075
2025-08-18,1.451486277100383,0.0
2025-08-19,1.5289366525693282,0.0
2025-08-20,1.5378333799630775,0.0
2025-08-21,1.58316010560707,0.0
2025-08-22,1.5911046837247853,0.0
2025-08-25,1.5820033646643594,-0.005720125868223569
2025-08-26,1.5871907057741672,-0.0024599122802250184
2025-08-27,1.537401942006924,-0.03375185948930959
2025-08-28,1.594837911761241,0.0
2025-08-29,1.623361817323767,0.0
2025-09-01,1.5868759273371165,-0.022475513220336918
2025-09-02,1.590283546542092,-0.02037640064505586
2025-09-03,1.5083850454063539,-0.07082633747476019
2025-09-04,1.5169314116720458,-0.06556172783907144
2025-09-05,1.549872180468744,-0.04527002918928824
2025-09-08,1.7336010285598362,0.0
2025-09-09,1.7694077078957349,0.0
2025-09-10,1.7875848427451126,0.0
2025-09-11,1.87192713225086,0.0
2025-09-12,1.9136244474657607,0.0
2025-09-15,1.8960481171302266,-0.009184837891682784
2025-09-16,1.9244165526783548,0.0
2025-09-17,1.961021663009936,0.0
2025-09-18,2.011721447652462,0.0
2025-09-19,2.030976573839348,0.0
2025-09-22,2.0823220971127943,0.0
2025-09-23,2.0749358957929944,-0.0035470983715925053
2025-09-24,2.0820570381720453,-0.00012729007732104058
2025-09-25,2.0608725885704438,-0.010300764023054354
2025-09-26,1.9502698994418837,-0.06341583650963756
2025-09-29,2.0273980557946647,-0.026376342735008884
2025-09-30,1.998145953203577,-0.04042417070151161
2025-10-09,1.9973449980903049,-0.0408088158600981
2025-10-10,1.9659264116210302,-0.05589706109979353
2025-10-13,1.9113421700263131,-0.08211022075957908
2025-10-14,1.8240633811943305,-0.12402438425666595
2025-10-15,1.9276266299096991,-0.07428988407585224
2025-10-16,1.9065419111891202,-0.08441546395122967
2025-10-17,1.8349722263817427,-0.11878559569338965
2025-10-20,1.9198509994548565,-0.07802399920896441
2025-10-21,1.9447115278118257,-0.06608515055944997
2025-10-22,1.9413238333972185,-0.06771203355670785
2025-10-23,1.882297892775817,-0.09605824411810127
2025-10-24,1.924322526200766,-0.07587662404922835
2025-10-27,1.959945737848851,-0.05876917861728592
2025-10-28,1.9507558647967804,-0.06318245985980486
2025-10-29,2.000912657158624,-0.039095507878943
2025-10-30,1.9189910645893196,-0.07843696839693459
2025-10-31,1.9208087505510147,-0.0775640554291398
2025-11-03,1.9243089597108631,-0.07588313912675726
2025-11-04,1.8213424479633649,-0.12533106646242964
2025-11-05,1.8030285700365096,-0.13412599686836824
2025-11-06,1.8137336907373753,-0.12898504354721363
2025-11-07,1.8537732022066706,-0.10975674475289576
2025-11-10,1.9108344767648668,-0.0823540318693734
2025-11-11,2.1236055070773157,0.0
2025-11-12,2.0770706223192437,-0.021913149406980637
2025-11-13,2.075923164917662,-0.022453483945461206
2025-11-14,2.0197421973607725,-0.04890894724580397
2025-11-17,2.022843548944985,-0.047448529303829035
2025-11-18,1.97969619195255,-0.06776650119109262
2025-11-19,1.958752999497432,-0.07762859298983804
2025-11-20,2.0018560668299257,-0.05733147698178265
2025-11-21,1.8791477409572632,-0.11511449057056544
2025-11-24,1.8810234394141252,-0.11423122931954166
2025-11-25,1.88243071492727,-0.11356854714601416
2025-11-26,1.881815031890269,-0.11385847059693255
2025-11-27,1.8816977589308406,-0.11391369411139307
2025-11-28,1.882899806764985,-0.11334765308817185
2025-12-01,1.882109362064003,-0.11371987132660999
2025-12-02,1.9311713448190204,-0.0906167184144947
2025-12-03,1.8736895827885551,-0.11768472225932203
2025-12-04,1.8834322122796516,-0.11309694479376764
2025-12-05,1.959035594010065,-0.07749552001009152
2025-12-08,1.9943178702798698,-0.060881193030706715
2025-12-09,1.9954612816343,-0.06034276376471559
2025-12-10,1.9947283256378705,-0.060687910730094496
2025-12-11,1.9961356011510152,-0.06002522855656711
2025-12-12,1.9959303734720149,-0.060121869706873166
2025-12-15,1.9943178702798698,-0.060881193030706715
2025-12-16,1.9937901419624406,-0.06112969884577946
2025-12-17,1.9948749168371565,-0.06061888133701865
2025-12-18,1.9938194602022978,-0.06111589296716424
2025-12-19,1.9940246878812982,-0.06101925181685819
2025-12-22,1.9946990073980133,-0.0607017166087096
2025-12-23,1.9951680992357281,-0.060480822550867175
2025-12-24,1.9959890099517292,-0.06009425794964285
2025-12-25,1.9954319633944428,-0.060356569643330804
2025-12-26,1.9952560539552997,-0.060439404915021755
2025-12-29,1.994640370918299,-0.060729328365939916
2025-12-30,1.9947576438777277,-0.06067410485147928
2025-12-31,1.9937901419624406,-0.06112969884577946
2026-01-05,1.9954612816343,-0.06034276376471559
2026-01-06,1.9944126753767162,-0.060836549571019694
2026-01-07,1.9941264594508208,-0.06097132786432391
2026-01-08,2.0284198326518283,-0.044822672623640814
2026-01-09,2.0301970514838867,-0.04398578515742568
2026-01-12,2.101167565382634,-0.010565965109764153
2026-01-13,1.9338924923674532,-0.08933533750859468
2026-01-14,1.8890694603042313,-0.11044238018381891
2026-01-15,1.847449747886494,-0.13004098843710876
2026-01-16,1.8311534857620184,-0.13771485350769985
2026-01-19,1.8520792330516278,-0.1278609765894726
2026-01-20,1.784587373730743,-0.15964270775185452
2026-01-21,1.7865930246223587,-0.15869825225626855
2026-01-22,1.8526488064411943,-0.12759276604487368
2026-01-23,1.969355316009274,-0.07263599126766895
2026-01-26,1.9674169100197914,-0.07354878132355391
2026-01-27,2.037816703753791,-0.04039771183377383
2026-01-28,1.994296769849507,-0.06089112916540418
2026-01-29,2.06558669082494,-0.02732090120270314
2026-01-30,2.0427142375540783,-0.03809147662014056
2026-02-02,2.0661998990653423,-0.02703214312670521
2026-02-03,2.1450521452588482,0.0
2026-02-04,2.0790679065129556,-0.03076113505759559
2026-02-05,2.0230812918977454,-0.056861486388893545
2026-02-06,2.0224584006900024,-0.057151871501031626
