strategy,strategy_family,top_n,momentum_window,volatility_window,trend_window,rebalance_interval,gross_exposure,defense_asset,drawdown_half,drawdown_quarter,total_turnover,rebalance_count,estimated_cost,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,passes_return_gate,passes_drawdown_gate
ext_ram_top1_m10_v20_t100_f21_x2_5_GLD,external_ram,1,10,20,100,21,2.5,GLD,-0.08,-0.14,81.5,31.0,0.0815,9.707554162521491,0.3499803553889782,0.4483238033657721,-0.42519373415089057,0.7806419216680341,0.8231079794435047,0.9226983945362853,False,False
ext_ram_top1_m20_v20_t200_f10_x2_5_GLD,external_ram,1,20,20,200,10,2.5,GLD,-0.15,-0.22,129.5,55.0,0.1295,9.263414165592211,0.34276115242880834,0.45708896138276245,-0.41967360400781095,0.7498784293366101,0.8167326921576628,0.8009228475314863,False,False
ext_ram_top2_m10_v20_t200_f10_x1_5_GLD,external_ram,2,10,20,200,10,1.5,GLD,-0.08,-0.14,207.22026647705027,143.0,0.20722026647705027,9.256463596559835,0.3426460233488906,0.3547794478946743,-0.3662955634443278,0.9658000918097549,0.9354359089882026,1.0808134293959684,False,False
ext_ram_top1_m20_v20_t50_f21_x2_5_GLD,external_ram,1,20,20,50,21,2.5,GLD,-0.15,-0.22,80.25,30.0,0.08025,9.015168832996832,0.3386063492264164,0.4279565312689472,-0.4257506618105713,0.7912166878780987,0.7953160842696989,0.8574948547291901,False,False
ext_ram_top2_m10_v60_t50_f21_x2_0_GLD,external_ram,2,10,60,50,21,2.0,GLD,-0.15,-0.22,88.31453152940344,39.0,0.08831453152940344,8.949966993850891,0.337500179484983,0.42290705391980493,-0.4742207660813803,0.7980481204009015,0.7116942226588726,0.8604964453130814,False,False
ext_ram_top1_m10_v20_t50_f21_x2_5_GLD,external_ram,1,10,20,50,21,2.5,GLD,-0.08,-0.14,85.5,33.0,0.0855,8.896212565095675,0.33658344694906517,0.43937181721725066,-0.4646238807937858,0.7660560685954033,0.7244213241343295,0.9309131195877086,False,False
ext_ram_top1_m10_v60_t200_f10_x2_5_GLD,external_ram,1,10,60,200,10,2.5,GLD,-0.15,-0.22,167.0,71.0,0.167,8.68581732608122,0.3329530026370273,0.4405793169233225,-0.41986723869870435,0.7557163712589209,0.7929959090615154,0.8281500526579846,False,False
ext_ram_top1_m10_v60_t50_f10_x2_5_GLD,external_ram,1,10,60,50,10,2.5,GLD,-0.15,-0.22,152.75,68.0,0.15275,8.555409619619153,0.33066804182381904,0.39915496010979035,-0.4261494935807689,0.8284202248992885,0.7759437634088069,0.959281228055199,False,False
ext_ram_top2_m10_v60_t50_f21_x2_0_GLD,external_ram,2,10,60,50,21,2.0,GLD,-0.12,-0.2,81.11796141442792,40.0,0.08111796141442792,8.48467517270802,0.3294172388915271,0.3953509176643608,-0.4538236924075373,0.8332274548334067,0.7258705184473,0.9199958415831097,False,False
ext_ram_top1_m10_v20_t50_f21_x2_5_GLD,external_ram,1,10,20,50,21,2.5,GLD,-0.12,-0.2,98.0,35.0,0.098,8.268404990604425,0.32554171807008725,0.46615779631490917,-0.4557121267924453,0.6983509031567717,0.714358251472109,0.8332917976290259,False,False
ext_ram_top2_m10_v60_t100_f21_x2_0_GLD,external_ram,2,10,60,100,21,2.0,GLD,-0.12,-0.2,83.44279156645895,39.0,0.08344279156645895,8.210767994133542,0.3244955500062079,0.4237243525700865,-0.48518251684477665,0.7658175604918398,0.6688113003668329,0.8105849199887825,False,False
ext_ram_top1_m10_v60_t200_f5_x1_5_GLD,external_ram,1,10,60,200,5,1.5,GLD,-0.15,-0.22,186.0,103.0,0.186,8.109689428659996,0.32264698936974967,0.39454447151423866,-0.48313252196574974,0.8177709045863686,0.6678229568503832,0.8462831553313948,False,False
ext_ram_top1_m20_v10_t200_f21_x2_5_GLD,external_ram,1,20,10,200,21,2.5,GLD,-0.15,-0.22,88.5,36.0,0.0885,8.106527836491708,0.3225888806458923,0.45022836448496456,-0.41967360400781073,0.7165005719151335,0.7686661194919671,0.7610823696384441,False,False
ext_ram_top1_m20_v60_t50_f10_x2_5_GLD,external_ram,1,20,60,50,10,2.5,GLD,-0.12,-0.2,154.5,68.0,0.1545,8.103285815629897,0.3225292753750961,0.50499345748031,-0.5033618082402793,0.6386801068361796,0.6407503908622664,0.6573482045517101,False,False
ext_ram_top2_m10_v60_t200_f21_x2_5_GLD,external_ram,2,10,60,200,21,2.5,GLD,-0.12,-0.2,91.39301803201471,39.0,0.09139301803201472,7.894274374780078,0.31864685746333143,0.4374548037073446,-0.4251937341508898,0.7284109232836424,0.7494156942356358,0.7945209351718235,False,False
ext_ram_top1_m10_v60_t100_f21_x2_5_GLD,external_ram,1,10,60,100,21,2.5,GLD,-0.12,-0.2,100.75,34.0,0.10075,7.81840720602087,0.3172178826424068,0.4854747581043201,-0.4196736040078102,0.6534178705419782,0.7558680832271342,0.725937442461597,False,False
ext_ram_top2_m10_v60_t100_f21_x2_0_GLD,external_ram,2,10,60,100,21,2.0,GLD,-0.15,-0.22,94.31610682809165,41.0,0.09431610682809165,7.716029295364796,0.3152724537077167,0.45157734916487224,-0.5781488333136372,0.6981582541524017,0.5453136554833902,0.7172310698722766,False,False
ext_ram_top1_m20_v20_t100_f10_x2_5_GLD,external_ram,1,20,20,100,10,2.5,GLD,-0.15,-0.22,129.25,50.0,0.12925,7.692229017756459,0.31481733276310453,0.46201550494352134,-0.42562896017328344,0.6813999300772148,0.7396520496042729,0.7295144866805826,False,False
ext_ram_top2_m120_v20_t200_f5_x1_5_GLD,external_ram,2,120,20,200,5,1.5,GLD,-0.08,-0.14,120.55907223087685,266.0,0.12055907223087685,7.640845884165326,0.3138310351100355,0.33975183909944134,-0.3941887507174383,0.9237066558400023,0.7961440668686036,1.1034705119220591,False,False
ext_ram_top2_m10_v60_t50_f21_x2_0_GLD,external_ram,2,10,60,50,21,2.0,GLD,-0.08,-0.14,74.69867104965023,42.0,0.07469867104965024,7.522403320203692,0.31153787333388894,0.35726557471202985,-0.4190713932794058,0.8720064159134301,0.7434004762195222,1.017521546795927,False,False
ext_ram_top1_m20_v10_t50_f5_x1_5_GLD,external_ram,1,20,10,50,5,1.5,GLD,-0.15,-0.22,155.75,85.0,0.15575,7.39694104887654,0.3090782413233315,0.3906661497612513,-0.4831325219657502,0.7911569546330522,0.6397380165296395,0.9370934925684887,False,False
ext_ram_top1_m10_v60_t200_f10_x1_5_GLD,external_ram,1,10,60,200,10,1.5,GLD,-0.15,-0.22,136.0,74.0,0.136,7.352318665808507,0.30819569681723036,0.36631000942185393,-0.40390590975137364,0.8413521031097533,0.7630383447643582,0.9338451896721436,False,False
