strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,cooldown_days,risk_asset_exposure,top_n,strategy_family,fixed_weights,gross_exposure,momentum_window,volatility_window,trend_window,rebalance_interval,cost_rate,drawdown_half,drawdown_quarter,drawdown_stop,passes_return_gate,passes_drawdown_gate
sat_top2_m10_v60_t60_f21_dd30,-0.28457307801721643,-0.062066724013882024,0.08700069209376513,-0.3121344554345724,-0.7134049456410015,-0.19884611561856888,-0.5135070386790652,17.17288001967299,22.0,0.01717288001967299,951.0,0.10868740515933233,2,ram_trend,,1.0,10,60,60,21,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t60_f5_dd30,-0.2850457583223047,-0.06218532955670686,0.08020012435273444,-0.3125889260247534,-0.7753769717763117,-0.1989364445744393,-0.6267710522774583,53.25745112198921,83.0,0.053257451121989215,852.0,0.1244309559939302,2,ram_trend,,1.0,10,60,60,5,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t200_f10_dd30,-0.28521313704385,-0.062227343640810506,0.11045951010932399,-0.312749856585104,-0.5633498064514577,-0.19896841622972095,-0.44526321743225294,36.10469418680481,47.0,0.03610469418680481,842.0,0.15288315629742033,2,ram_trend,,1.0,10,60,200,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t120_f5_dd30,-0.2841947063110194,-0.06197182816069058,0.0860135452536844,-0.31138863876555956,-0.7204891738610902,-0.19901762763845846,-0.5222708871826556,46.092662714339866,68.0,0.046092662714339865,941.0,0.1039453717754173,2,ram_trend,,1.0,10,20,120,5,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t60_f5_dd30,-0.2841978695535312,-0.06197262133567061,0.07985322091006769,-0.31139168183432575,-0.7760816737181513,-0.1990182299366712,-0.5802199025375979,47.76845623409686,74.0,0.04776845623409686,910.0,0.10944613050075873,2,ram_trend,,1.0,10,20,60,5,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t200_f21_dd30,-0.2859934698936092,-0.06242332169558984,0.1160434824543701,-0.3135001275969276,-0.5379304410321842,-0.19911737253213677,-0.4538496000272194,26.04212652759047,33.0,0.02604212652759047,638.0,0.18076631259484066,2,ram_trend,,1.0,10,60,200,21,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t120_f21_dd30,-0.2850631960169421,-0.06218970625784548,0.11750248105678074,-0.31222413395382687,-0.5292629202254338,-0.19918289297598749,-0.4407216143385428,25.285179874641702,32.0,0.025285179874641704,638.0,0.18076631259484066,2,ram_trend,,1.0,10,20,120,21,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t60_f21_dd30,-0.2855021727946243,-0.06229991384587219,0.08449297966868424,-0.31264643370362666,-0.7373383456254473,-0.19926635051570563,-0.5262564657243612,15.433478811769504,19.0,0.015433478811769505,997.0,0.09597875569044007,2,ram_trend,,1.0,10,20,60,21,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t200_f10_dd30,-0.2857699624724289,-0.06236717084170895,0.10472701671951354,-0.3129040498685015,-0.5955213162306019,-0.1993172375618624,-0.4199871613735988,30.739628613179974,35.0,0.030739628613179974,1025.0,0.11437784522003035,2,ram_trend,,1.0,10,20,200,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t60_f10_dd30,-0.28799879421382135,-0.06292774800424217,0.06522775155950353,-0.3150482067683382,-0.9647388803036818,-0.1997400608933296,-0.6958384955815908,22.94346672892912,39.0,0.02294346672892912,920.0,0.08877086494688922,2,ram_trend,,1.0,10,20,60,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v20_t120_f10_dd30,-0.28870674762355064,-0.06310610348572354,0.08005151688522533,-0.31572926454405237,-0.7883186470557773,-0.19987410282304893,-0.5031383907958095,16.569131785854868,18.0,0.016569131785854868,1138.0,0.06069802731411229,2,ram_trend,,1.0,10,20,120,10,0.001,-0.15,-0.22,-0.3,False,False
sat_top2_m10_v60_t200_f5_dd30,-0.29037337581170697,-0.0635265464003072,0.09713415453338431,-0.3177113003623411,-0.6540083321410244,-0.19995054103475984,-0.5089593345683099,55.18152574981447,77.0,0.05518152574981447,901.0,0.124051593323217,2,ram_trend,,1.0,10,60,200,5,0.001,-0.15,-0.22,-0.3,False,False
