date,nav,running_max,drawdown
2025-04-15,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-16,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-17,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-18,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-21,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-22,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-23,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-24,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-25,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-28,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-29,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-04-30,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-06,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-07,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-08,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-09,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-12,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-13,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-14,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-15,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-16,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-19,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-20,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-21,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-22,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-23,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-26,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-27,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-28,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-29,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-05-30,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-06-03,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-06-04,1.1258504650000005,1.2901529780000005,-0.12735118687607283
2025-06-05,1.1345823530000005,1.2901529780000005,-0.12058308406276441
2025-06-06,1.1348162510000006,1.2901529780000005,-0.12040178928300693
2025-06-09,1.1916862510000006,1.2901529780000005,-0.07632174531166325
2025-06-10,1.1437322510000005,1.2901529780000005,-0.11349098091218757
2025-06-11,1.1347356300000007,1.2901529780000005,-0.12046427877175336
2025-06-12,1.1174636300000005,1.2901529780000005,-0.13385183846004345
2025-06-13,1.1296566300000006,1.2901529780000005,-0.12440102122525176
2025-06-16,1.1446375260000006,1.2901529780000005,-0.11278930055688319
2025-06-17,1.1086595260000005,1.2901529780000005,-0.14067591603078866
2025-06-18,1.1106895260000005,1.2901529780000005,-0.13910245921239883
2025-06-19,1.0421169230000007,1.2901529780000005,-0.19225321278140683
2025-06-20,1.0046069430000006,1.2901529780000005,-0.22132726883493636
2025-06-23,1.0278759430000006,1.2901529780000005,-0.20329142316640825
2025-06-24,1.0120359430000008,1.2901529780000005,-0.21556903696113439
2025-06-25,1.0166580220000008,1.2901529780000005,-0.21198645483419531
2025-06-26,1.0130240220000009,1.2901529780000005,-0.21480317506967728
2025-06-27,1.0061690220000008,1.2901529780000005,-0.22011649846379655
2025-06-30,1.0746280220000008,1.2901529780000005,-0.16705379879377336
2025-07-01,1.141692463000001,1.2901529780000005,-0.11507202442778808
2025-07-02,1.1156606630000008,1.2901529780000005,-0.13524932157308844
2025-07-03,1.092862663000001,1.2901529780000005,-0.15292009425567477
2025-07-04,1.102565663000001,1.2901529780000005,-0.1453992807045239
2025-07-07,1.1199474980000008,1.2901529780000005,-0.13192658770113663
2025-07-08,1.1573624980000008,1.2901529780000005,-0.10292615082426271
2025-07-09,1.1799704980000008,1.2901529780000005,-0.08540264749906246
2025-07-10,1.195226498000001,1.2901529780000005,-0.07357769320282848
2025-07-11,1.243781356000001,1.2901529780000005,-0.03594273143630211
2025-07-14,1.224904189000001,1.2901529780000005,-0.05057445908557945
2025-07-15,1.2427651890000009,1.2901529780000005,-0.036730364389392256
2025-07-16,1.2987846290000011,1.2987846290000011,0.0
2025-07-17,1.3269573230000014,1.3269573230000014,0.0
2025-07-18,1.3239153230000014,1.3269573230000014,-0.0022924625737944515
2025-07-21,1.3287793230000013,1.3287793230000013,0.0
2025-07-22,1.3117863230000013,1.3287793230000013,-0.012788428978285693
2025-07-23,1.3125745400000013,1.3287793230000013,-0.012195240187373169
2025-07-24,1.3497864440000011,1.3497864440000011,0.0
2025-07-25,1.336311444000001,1.3497864440000011,-0.009983060698156021
2025-07-28,1.322067444000001,1.3497864440000011,-0.020535841149698197
2025-07-29,1.321055444000001,1.3497864440000011,-0.02128558938172298
