strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,cooldown_days,risk_asset_exposure,top_n,strategy_family,fixed_weights,gross_exposure,momentum_window,volatility_window,trend_window,rebalance_interval,cost_rate,drawdown_half,drawdown_quarter,drawdown_stop,passes_return_gate,passes_drawdown_gate
sat_top2_m10_v60_t60_f21_dd30,0.2363663646389682,0.06823797331734038,0.21785169481973046,-0.22293969407470837,0.3132313171756889,0.3060826543274678,0.3676861030559484,55.335456239370444,34.0,0.055335456239370445,0.0,0.7669543773119606,2,ram_trend,,1.0,10,60,60,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m120_v20_t120_f5_dd30,0.2672367885818754,0.07646569896721855,0.1933111383133073,-0.2540005258659328,0.39555764677815647,0.30104543566015635,0.41407155421347797,57.5,47.0,0.0575,0.0,0.6054254007398274,1,ram_trend,,1.0,120,20,120,5,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m120_v10_t60_f21_dd30,0.29457317342616895,0.08363701700749382,0.16650394586933,-0.28079904204088124,0.5023125222097198,0.2978536408087788,0.5041177298149802,31.5,21.0,0.0315,0.0,0.6424167694204685,1,ram_trend,,1.0,120,10,60,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v10_t120_f21_dd30,0.2903894250769179,0.08254627420396154,0.18674323005253968,-0.2807990420408818,0.442030879409858,0.29396921586343433,0.4937454416351125,26.0,18.0,0.026000000000000002,0.0,0.6683107274969173,1,ram_trend,,1.0,60,10,120,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m20_v20_t200_f21_dd30,0.2552830122074323,0.07329628199505334,0.19521161648532964,-0.2505151416453967,0.375470903395555,0.292582242788358,0.3659693714385023,39.0,23.0,0.039,0.0,0.6051171393341553,1,ram_trend,,1.0,20,20,200,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v10_t200_f10_dd30,0.306051635197234,0.08661714322041103,0.17772677731230044,-0.2968847264250919,0.4873612436476463,0.29175345011312237,0.4934369780818452,39.5,28.0,0.0395,0.0,0.5838471023427867,1,ram_trend,,1.0,60,10,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m10_v10_t200_f10_dd30,0.2832043536474682,0.08066735958963855,0.1928064621263759,-0.2813101216115689,0.4183851448753038,0.28675597993954693,0.4035774444010349,73.14041576241716,53.0,0.07314041576241717,0.0,0.5900123304562269,2,ram_trend,,1.0,10,10,200,10,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m120_v60_t200_f21_dd30,0.28020891812566195,0.0798819047481254,0.16954539170236654,-0.2807990420408816,0.4711535002281657,0.28448068827989587,0.4486109146713088,18.0,17.0,0.018000000000000002,0.0,0.42385943279901356,1,ram_trend,,1.0,120,60,200,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top2_m20_v10_t60_f21_dd30,0.21756733825874508,0.06315801823420175,0.19735689772799966,-0.22416540694355536,0.3200193099977033,0.28174738955196993,0.3557348665261432,46.98786476066987,34.0,0.04698786476066987,0.0,0.7669543773119606,2,ram_trend,,1.0,20,10,60,21,0.001,-0.15,-0.22,-0.3,False,True
sat_top1_m60_v60_t60_f21_dd30,0.27156022320739925,0.07760693943542485,0.17932797327040256,-0.2807990420408818,0.4327653852330332,0.27637893231888583,0.455467653810584,31.0,24.0,0.031,0.0,0.5841553637484587,1,ram_trend,,1.0,60,60,60,21,0.001,-0.15,-0.22,-0.3,False,True
