trade_id,status,symbol,buy_date,sell_date,holding_days,buy_shares,sell_shares,sell_count,buy_price,average_sell_price,buy_value,sell_value,gross_pnl,cost,net_pnl,net_pnl_display,net_return_pct,exit_reasons
57,closed,000981,2025-10-23,2025-11-14,22,1200.0,1200.0,1,4.01,3.51,4812.0,4212.0,-600.0,9.024000000000001,-609.024,-609.024,-0.12643715386857532,break_bbi
58,closed,600857,2025-10-27,2025-10-29,2,100.0,100.0,1,14.82,16.01,1482.0,1601.0000000000002,119.00000000000023,3.083,115.91700000000023,115.91700000000023,0.07813846072955401,take_profit_8
59,closed,600629,2025-10-29,2025-10-30,1,100.0,100.0,1,24.0,22.99,2400.0,2299.0,-101.0,4.699,-105.69900000000001,-105.69900000000001,-0.04399725274725275,break_bbi
60,closed,300933,2025-10-31,2025-11-11,11,200.0,200.0,1,9.24,9.03,1848.0,1805.9999999999998,-42.00000000000023,3.654,-45.654000000000224,-45.654000000000224,-0.02467986558895662,break_bbi
61,closed,600172,2025-11-04,2025-11-11,7,102600.0,102600.0,1,6.46,7.62,662796.0,781812.0,119016.0,1444.6080000000002,117571.39199999999,117571.39199999999,0.17720978711690785,take_profit_8
62,closed,600601,2025-11-11,2026-01-07,57,65800.0,65800.0,1,11.99,13.33,788942.0,877114.0,88172.0,1666.056,86505.944,86505.944,0.1095385015318293,take_profit_8
63,closed,603759,2025-11-14,2025-11-21,7,400.0,400.0,1,11.47,10.36,4588.0,4144.0,-444.0,8.732,-452.732,-452.732,-0.0985788405143244,break_bbi
64,closed,603686,2025-11-19,2025-11-21,2,28200.0,28200.0,1,27.16,25.37,765912.0,715434.0,-50478.0,1481.346,-51959.346,-51959.346,-0.06777206593112337,break_bbi
65,closed,688525,2025-11-21,2025-11-24,3,6800.0,6800.0,1,104.54,104.04,710872.0,707472.0,-3400.0,1418.344,-4818.344,-4818.344,-0.006771304073772029,break_bbi
66,closed,600506,2025-12-01,2025-12-04,3,35700.0,35700.0,1,19.97,18.74,712929.0,669018.0,-43911.0,1381.9470000000001,-45292.947,-45292.947,-0.06346732886542601,break_bbi
67,closed,002639,2025-12-01,2025-12-05,4,100.0,100.0,1,13.73,15.37,1373.0,1537.0,164.0,2.91,161.09,161.09,0.11720981131032114,take_profit_8
68,closed,300959,2025-12-04,2025-12-09,5,5900.0,5900.0,1,111.5,138.0,657850.0,814200.0,156350.0,1472.0500000000002,154877.94999999998,154877.94999999998,0.235195297975567,take_profit_8
69,closed,000681,2025-12-04,2025-12-09,5,400.0,400.0,1,22.88,22.52,9152.0,9008.0,-144.0,18.160000000000004,-162.16,-162.16,-0.017700830637893575,break_bbi
70,closed,600865,2026-01-06,2026-01-12,6,50600.0,50600.0,1,16.26,17.71,822756.0000000001,896126.0,73369.99999999988,1718.882,71651.11799999989,71651.11799999989,0.0869997161510075,take_profit_8
71,closed,002491,2026-01-06,2026-01-20,14,100.0,100.0,1,6.03,5.88,603.0,588.0,-15.0,1.1909999999999998,-16.191,-16.191,-0.026823922346310407,break_bbi
72,closed,300548,2026-01-07,2026-01-13,6,6300.0,6300.0,1,136.0,122.2,856800.0,769860.0,-86940.0,1626.66,-88566.66,-88566.66,-0.10326585179526356,break_bbi
73,closed,300189,2026-01-08,2026-01-12,4,2600.0,2600.0,1,7.14,7.77,18564.0,20202.0,1638.0,38.766000000000005,1599.234,1599.234,0.08606099782570371,take_profit_8
74,closed,002837,2026-01-12,2026-02-03,22,11200.0,11200.0,1,77.55,84.28,868560.0,943936.0,75376.0,1812.496,73563.504,73563.504,0.08461132677767107,take_profit_8
