strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top3_m60_v120_f42_cost,0.4176296432633224,0.1146868216687893,0.1300235773871126,-0.1307529077293318,0.8820463486198202,0.8771263573441863,1.044928775183745,19.430997567968486,18.0,0.019430997567968487,ram_topn,3,60,120,42,0.001
ram_top3_m180_v120_f10_cost,0.3588492219806527,0.10009720631349106,0.1048294108342848,-0.11471922265361045,0.9548580452457712,0.8725408349020118,1.0139567691590923,18.885495045577066,65.0,0.018885495045577065,ram_topn,3,180,120,10,0.001
ram_top1_m20_v60_f10_cost,0.6411527488879696,0.16663565645528355,0.21413590238245836,-0.19170703859592797,0.7781771043590029,0.8692203357567438,0.8727200300475062,71.0,36.0,0.07100000000000001,ram_topn,1,20,60,10,0.001
ram_top1_m20_v120_f42_cost,0.3978235204010139,0.10981819421363803,0.13924076887532802,-0.12723036824454714,0.7886928167709698,0.8631445128144132,0.8479850878353783,21.0,11.0,0.021,ram_topn,1,20,120,42,0.001
ram_top3_m20_v20_f10_cost,0.5050229171864846,0.13562680561352192,0.15922487884899225,-0.15733457632008396,0.8517940575238209,0.8620279711282318,0.9430583899056064,65.2220011704906,76.0,0.0652220011704906,ram_topn,3,20,20,10,0.001
ram_top3_m60_v60_f21_cost,0.3857512525086868,0.1068273058909519,0.13080591104264314,-0.12417790300933995,0.8166856148888093,0.8602762915308448,0.9480998706499756,26.694080972742963,37.0,0.026694080972742965,ram_topn,3,60,60,21,0.001
ram_top3_m180_v120_f63_cost,0.36510600374055135,0.10167060495958724,0.10703486189917183,-0.11832728202293563,0.9498830862729772,0.8592321501974516,1.0491161362107564,8.92675257620723,11.0,0.00892675257620723,ram_topn,3,180,120,63,0.001
ram_top2_m20_v20_f10_cost,0.545716455506783,0.1450920293393534,0.16737329563326941,-0.16915986006596695,0.8668768144308017,0.8577213842738586,0.9650685883110895,68.39074692273579,76.0,0.06839074692273579,ram_topn,2,20,20,10,0.001
ram_top3_m180_v60_f63_cost,0.36874361003306944,0.10258307454937876,0.1086677837434624,-0.12165556286248247,0.9440063192192442,0.8432255141948343,1.0304654246908505,9.320943408043023,11.0,0.009320943408043023,ram_topn,3,180,60,63,0.001
ram_top3_m180_v120_f21_cost,0.36437309725975964,0.10148655751210889,0.10000228206278769,-0.12184920348791717,1.0148424157799647,0.832886507314531,1.1283432239467945,12.377677063570054,31.0,0.012377677063570054,ram_topn,3,180,120,21,0.001
ram_top2_m60_v20_f10_cost,0.43657911356485735,0.11930120283772516,0.14441823609425813,-0.14542902798394597,0.8260812904532381,0.8203396838414881,0.930378501859053,42.10379439171206,73.0,0.04210379439171206,ram_topn,2,60,20,10,0.001
ram_top2_m20_v120_f42_cost,0.38537003848051987,0.10673256877997739,0.125570518038902,-0.13292379264580712,0.849981113774743,0.8029606036323408,0.9943254281372074,20.675711477855046,17.0,0.020675711477855047,ram_topn,2,20,120,42,0.001
ram_top2_m20_v60_f63_cost,0.2990848620416322,0.0848105390286864,0.1182014299881637,-0.10757241531789907,0.7175085702193201,0.7884041534072973,0.8718324561147046,14.354217048303024,12.0,0.014354217048303024,ram_topn,2,20,60,63,0.001
ram_top3_m180_v60_f42_cost,0.3430598226326178,0.09610431894285765,0.10005048413304739,-0.12202301354203715,0.9605582599186415,0.7875917513686836,1.0352445047386978,10.063553457014352,16.0,0.010063553457014353,ram_topn,3,180,60,42,0.001
ram_top2_m20_v20_f42_cost,0.3742274102066283,0.10395549749321509,0.12885376335220564,-0.1320431267042591,0.8067711395364197,0.7872844281099711,1.0009814087925692,23.401935987878115,19.0,0.023401935987878115,ram_topn,2,20,20,42,0.001
ram_top2_m180_v120_f10_cost,0.3819855074909182,0.10589067612074876,0.12153835699795887,-0.13486588540813016,0.8712531478644812,0.7851553845533522,0.923233443655067,21.95137458987606,65.0,0.02195137458987606,ram_topn,2,180,120,10,0.001
ram_top2_m20_v120_f63_cost,0.3013921616576778,0.08540959911785051,0.12087361476243007,-0.1095327382099236,0.7066025061442732,0.779763206085105,0.8558097893538593,14.607612934758198,12.0,0.014607612934758199,ram_topn,2,20,120,63,0.001
ram_top2_m20_v60_f42_cost,0.36909242204687454,0.10267048393249123,0.12784962391946703,-0.13204974778950607,0.8030565971563887,0.7775136692888891,0.9679968861000638,22.053333022759464,18.0,0.022053333022759466,ram_topn,2,20,60,42,0.001
ram_top2_m60_v60_f10_cost,0.45307990995230907,0.12328527586723181,0.15502007635047416,-0.15967660588724886,0.7952858672866646,0.772093539828159,0.893614484379513,37.62968595548638,73.0,0.03762968595548638,ram_topn,2,60,60,10,0.001
ram_top1_m60_v120_f42_cost,0.35091067175645807,0.0980936920641553,0.1539459375105837,-0.12723036824454714,0.6371957172134628,0.7709927544626077,0.7645525583862411,27.0,14.0,0.027,ram_topn,1,60,120,42,0.001
ram_top3_m20_v60_f10_cost,0.43853843043679386,0.1197759186617382,0.16067639147065887,-0.15962170993163505,0.7454481493232346,0.7503736096614768,0.805546854118616,62.7384182190052,72.0,0.0627384182190052,ram_topn,3,20,60,10,0.001
ram_top2_m20_v120_f10_cost,0.43003940712659494,0.11771348476180954,0.1631870548844646,-0.15880804040547447,0.7213408247679323,0.7412312655030513,0.7668294205107153,62.23332723525074,67.0,0.06223332723525074,ram_topn,2,20,120,10,0.001
ram_top3_m20_v120_f10_cost,0.4256497011093081,0.11664493885907956,0.15675716678556215,-0.15880804040547392,0.7441123187601714,0.7345027277035713,0.7737537233622918,58.11191150088477,67.0,0.05811191150088477,ram_topn,3,20,120,10,0.001
ram_top3_m180_v20_f42_cost,0.3064410999405578,0.08671794199985183,0.10027901489945541,-0.11839521141866549,0.8647665923603202,0.7324446737394008,0.9448526955154939,11.113982377996386,16.0,0.011113982377996386,ram_topn,3,180,20,42,0.001
