strategy,total_return,annual_return,annual_volatility,max_drawdown,sharpe,calmar,sortino,total_turnover,rebalance_count,estimated_cost,kind,top_n,momentum_window,volatility_window,interval_days,cost_rate
ram_top1_m180_v20_f42_cost,0.5021938947805002,0.0809745068238028,0.11376584518818526,-0.12268926696109239,0.7117646486066111,0.6599966633550896,0.8020774110860559,23.0,12.0,0.023,ram_topn,1,180,20,42,0.001
ram_top1_m20_v120_f21_cost,0.7945504552925702,0.11838899543689219,0.15312283522058945,-0.18381961483874865,0.7731635537334485,0.6440498503967931,0.8735548655990155,87.0,44.0,0.08700000000000001,ram_topn,1,20,120,21,0.001
ram_top3_m20_v60_f63_cost,0.4451041348170357,0.07299015182005109,0.09109771433172326,-0.11652422092522474,0.8012292334170396,0.6263946777802523,0.9021412332947574,28.0917864020605,21.0,0.0280917864020605,ram_topn,3,20,60,63,0.001
ram_top1_m120_v20_f21_cost,1.0764940718638765,0.15005686052660927,0.15759888769947697,-0.2489079301075272,0.952144159879799,0.602860907090366,0.9834342389429336,53.0,27.0,0.053,ram_topn,1,120,20,21,0.001
ram_top1_m120_v120_f63_cost,0.7292833914296621,0.11048898685096775,0.13392464912896754,-0.2019953421663776,0.8250085967712218,0.5469877951936201,0.8778298053476804,21.0,11.0,0.021,ram_topn,1,120,120,63,0.001
ram_top1_m120_v60_f21_cost,0.8965852171442861,0.13028596091945732,0.15901371492938174,-0.24890793010752676,0.8193378852718304,0.5234303337108406,0.8402130493192921,35.0,18.0,0.035,ram_topn,1,120,60,21,0.001
ram_top2_m20_v20_f63_cost,0.40678246569429377,0.06748635264529179,0.09743451206476675,-0.12969982137108282,0.6926329409894536,0.5203272597593429,0.7717810625370496,30.644838390760846,21.0,0.030644838390760848,ram_topn,2,20,20,63,0.001
ram_top1_m120_v120_f21_cost,0.8039087714147064,0.11950261251386896,0.1591627786993667,-0.248907930107527,0.7508200943110604,0.48010769468953607,0.7818810003992133,37.0,19.0,0.037,ram_topn,1,120,120,21,0.001
ram_top1_m180_v120_f42_cost,0.43009889743396346,0.07084930705585801,0.122487634798635,-0.1511968314103671,0.5784200762169306,0.46858989302205767,0.692654070464926,27.0,14.0,0.027,ram_topn,1,180,120,42,0.001
ram_top2_m20_v120_f63_cost,0.3694304958940431,0.06200388094942633,0.09970267989082664,-0.13326637698714872,0.6218878070009743,0.4652627493235263,0.696579939542299,30.54888275410213,21.0,0.03054888275410213,ram_topn,2,20,120,63,0.001
ram_top1_m120_v60_f63_cost,0.5990071316595609,0.0939703304073447,0.13412947552302093,-0.20199534216637782,0.7005941836491888,0.46521038257379227,0.7174596995204656,21.0,11.0,0.021,ram_topn,1,120,60,63,0.001
